"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
0|"77PPhjg3k4kvulJojUHqGX"|"Mabsy"|"YOU SAY"|178695|"YOU SAY"|1|"2022-04-05"|1|0.523|0.964|2|-2.77|1|0.0418|0.000655|0|0.164|0.691|92.006|4
1|"7MC4XR9M9amdmKQr2iDF7i"|"Justin Wellington"|"Iko Iko (My Bestie)"|182857|"Iko Iko (My Bestie)"|1|"2019-06-03"|1|0.862|0.753|5|-5.356|1|0.0625|0.131|2.01e-06|0.077|0.827|105.039|4
2|"6zSpb8dQRaw0M1dK8PBwQz"|"Elton John"|"Cold Heart - PNAU Remix"|202735|"Cold Heart (PNAU Remix)"|1|"2021-08-13"|1|0.796|0.798|1|-6.312|1|0.0317|0.034|4.19e-05|0.0952|0.942|116.032|4
3|"6yfjJmCGTfLYtlNr2zUlfb"|"LEOPOLD"|"Paradise"|218142|"Paradise"|1|"2020-04-08"|1|0.836|0.47|8|-8.229|1|0.216|0.0252|0|0.0999|0.624|118.991|4
4|"6W1DWGGC2dTwQ3pCitfgmr"|"Kylie Minogue"|"Kiss Of Life"|193720|"Kiss Of Life"|1|"2021-10-29"|1|0.695|0.823|7|-6.124|1|0.0639|0.04|7.27e-05|0.0503|0.771|123.923|4
5|"5zrvbvUB7T3d1mi69885VZ"|"AJR"|"Bang!"|170858|"Bang!"|1|"2020-02-12"|1|0.74|0.517|1|-6.233|0|0.0506|0.0183|0|0.0558|0.698|139.917|4
6|"6DD5beNG6Ji3AYp5WrYnwD"|"Simple Plan"|"What's New Scooby-Doo?"|68695|"What's New Scooby-Doo?"|1|"2021-07-23"|1|0.486|0.946|1|-5.509|1|0.0807|8.94e-05|0.0001|0.11|0.509|158.158|4
7|"2OVsM18dM28JEMbbT2fHuM"|"Steps"|"Heartbreak in This City - Single Mix"|206680|"Heartbreak in This City"|1|"2021-02-25"|2|0.587|0.892|4|-5.552|1|0.0474|0.00479|0|0.238|0.722|128.101|4
8|"763ynRN90zLEp9hrNNINjl"|"Andy Grammer"|"Lease On Life"|168162|"Lease On Life"|1|"2021-06-28"|1|0.704|0.701|2|-5.44|1|0.0596|0.0593|0|0.126|0.606|88.016|4
9|"4wosxLl0mAqhneDzya2MfY"|"Joel Corry"|"Head & Heart (feat. MNEK)"|166028|"Head & Heart (feat. MNEK)"|1|"2020-07-03"|1|0.732|0.874|8|-3.158|1|0.0662|0.168|1.17e-05|0.0489|0.905|122.961|4
10|"5o9IyWGdidu1TvFrsGlMaC"|"Netta"|"Coco Jamboo"|153550|"The Best Of Netta's Office, Vol. 1"|2|"2020-12-18"|6|0.891|0.486|0|-9.929|1|0.186|0.372|0.000307|0.0933|0.818|100.525|4
11|"1nzEBS9EMmlQCiNMAFR1cg"|"Tryhardninja"|"Straight to the Top"|204678|"In Real Life"|6|"2013-08-20"|13|0.794|0.524|5|-7.522|0|0.0492|0.0638|0|0.0923|0.485|127.961|4
12|"6Lhp6CDhGU7wLCtFfwTA3r"|"Valence"|"yü - Radio Edit"|194625|"yü"|1|"2019-09-27"|2|0.659|0.771|5|-7.941|0|0.0418|0.00616|1.23e-05|0.138|0.298|124.998|4
13|"6ZrOBKUVZXhrUp9388yopW"|"Tom Odell"|"Summer Day"|178942|"Summer Day"|1|"2019-04-05"|1|0.754|0.709|3|-7.476|1|0.0551|0.857|3.14e-05|0.096|0.701|112.02|4
14|"31AlYqsaVbs3TA1Ri1SW86"|"Mitch Tambo"|"You're the Voice"|243978|"You're the Voice"|1|"2019-12-13"|1|0.512|0.89|9|-2.98|1|0.0474|0.144|0|0.099|0.65|169.889|4
15|"0GiwV6v3AgJfdu59tj719Y"|"Endor"|"Pump It Up"|150635|"Pump It Up"|1|"2019-09-13"|2|0.899|0.894|1|-7.255|1|0.222|0.203|9.95e-05|0.0606|0.654|129.047|4
