"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
0|"4XE98WRGbBGRZ7jQ9wIwFt"|"Lily Allen"|"Fuck You"|219893|"It's Not Me, It's You (Special Edition)"|8|"2008-12-02"|23|0.775|0.904|1|-4.08|0|0.0437|0.0271|0.000303|0.06|0.84|130.009|4
1|"0JiY190vktuhSGN6aqJdrt"|"P!nk"|"So What"|215160|"Funhouse (Expanded Edition)"|1|"2008-10-24"|14|0.534|0.87|11|-3.078|0|0.0425|0.000334|0|0.241|0.462|126.019|4
2|"7nXq1vaZiz7PdbfojpPjW5"|"Christina Aguilera"|"Fighter"|245960|"Stripped"|4|"2002-07-19"|20|0.435|0.92|4|-1.357|0|0.201|0.235|0.000353|0.552|0.45|188.899|4
3|"45hOioMDJktr86iKDHC8gr"|"Avril Lavigne"|"Girlfriend"|216600|"The Best Damn Thing (Expanded Edition)"|1|"2007-04-17"|17|0.56|0.959|7|-2.433|1|0.102|0.000722|0.000221|0.209|0.669|163.983|4
4|"7pu8AhGUxHZSCWTkQ2eb5M"|"Joan Jett & The Blackhearts"|"Bad Reputation"|169186|"Bad Reputation (Expanded Edition)"|1|"1981-01-23"|17|0.378|0.974|6|-4.055|1|0.194|0.00192|0.0139|0.0588|0.824|203.715|4
5|"4fixebDZAVToLbUCuEloa2"|"Britney Spears"|"Womanizer"|224400|"Circus (Deluxe Version)"|1|"2008-12-02"|15|0.724|0.695|11|-5.226|1|0.0622|0.073|0|0.0889|0.235|139.0|4
6|"2z4U9d5OAA4YLNXoCgioxo"|"Avril Lavigne"|"What the Hell"|220706|"Goodbye Lullaby (Expanded Edition)"|2|"2011-03-08"|21|0.578|0.926|6|-3.689|0|0.0548|0.00472|0.0127|0.14|0.877|149.976|4
7|"7gvd8xj4QgPqbQSsn5pV7d"|"Demi Lovato"|"Sorry Not Sorry"|203760|"Tell Me You Love Me (Deluxe)"|1|"2017-09-29"|15|0.705|0.64|11|-6.928|0|0.225|0.0237|0|0.262|0.887|144.077|4
8|"6I9VzXrHxO9rA9A5euc8Ak"|"Britney Spears"|"Toxic"|198800|"In The Zone"|6|"2003-11-13"|13|0.774|0.838|5|-3.914|0|0.114|0.0249|0.025|0.242|0.924|143.04|4
9|"3HWzoMvoF3TQfYg4UPszDq"|"Lizzo"|"Truth Hurts"|173325|"Cuz I Love You (Super Deluxe)"|13|"2019-04-19"|16|0.715|0.624|4|-3.046|0|0.114|0.11|0|0.123|0.412|158.087|4
10|"1iupzLgX4O0Qosb4yDpYoz"|"Little Mix"|"Salute"|236013|"Salute (Expanded Edition)"|1|"2013-11-11"|21|0.641|0.732|2|-5.325|1|0.0509|0.0981|0|0.285|0.354|82.027|4
11|"1P17dC1amhFzptugyAO7Il"|"Taylor Swift"|"Look What You Made Me Do"|211853|"reputation"|6|"2017-11-10"|15|0.766|0.709|9|-6.471|0|0.123|0.204|1.41e-05|0.126|0.506|128.07|4
12|"1TEjSXPdAakDotj2Wji3PU"|"Katy Perry"|"Hot N Cold"|220226|"One Of The Boys"|7|"2008-06-17"|12|0.706|0.841|7|-3.956|1|0.0418|7.95e-05|0|0.0688|0.861|132.032|4
13|"4GzDUKkd1RwAtYZMMUBM3W"|"Taylor Swift"|"I Knew You Were Trouble."|222733|"I Knew You Were Trouble."|1|"2012-01-01"|1|0.599|0.474|6|-6.794|1|0.0379|0.00532|2.84e-06|0.0216|0.649|154.182|4
14|"005lwxGU1tms6HGELIcUv9"|"Katy Perry"|"I Kissed A Girl"|179640|"One Of The Boys"|2|"2008-06-17"|12|0.699|0.76|5|-3.173|1|0.0677|0.00223|0|0.132|0.696|129.996|4
15|"340UVheS8z3ncW9TTUhAbc"|"Halsey"|"Nightmare"|231998|"Nightmare"|1|"2019-05-17"|1|0.611|0.622|9|-5.075|0|0.0734|0.0188|0|0.359|0.538|146.11|4
16|"12KUFSHFgT0XCoiSlvdQi4"|"Ariana Grande"|"Break Free"|214840|"My Everything (Deluxe)"|5|"2014-08-25"|15|0.687|0.702|7|-5.324|0|0.0455|0.0064|4.35e-05|0.204|0.284|129.956|4
17|"28xX6K8LnkZve4RiuEB3iK"|"Little Mix"|"Sweet Melody"|213693|"Sweet Melody"|1|"2020-10-23"|1|0.448|0.824|5|-4.249|0|0.057|0.0739|0|0.113|0.419|119.965|4
18|"4Gt2kh3QbAGU6yquOWn4aW"|"Lauv"|"Fake"|146375|"Fake"|1|"2020-10-13"|1|0.703|0.657|4|-5.363|1|0.0783|0.139|0|0.093|0.455|82.96|4
