"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
0|"1KZyVnyptQcPzkx7ELCnZC"|"James Bay"|"Hold Back The River"|238746|"Chaos And The Calm"|2|"2015-03-20"|12|0.715|0.715|5|-7.364|1|0.0902|0.0526|0|0.0936|0.507|134.922|4
1|"3nnG7AM9QopHVPEuLX3Khk"|"James Bay"|"Let It Go"|260533|"Chaos And The Calm"|3|"2015-03-20"|12|0.536|0.311|1|-10.396|1|0.0288|0.82|1.65e-05|0.107|0.246|147.486|4
2|"5mGChT2miDApqXTNlejoZY"|"Louis Baker"|"Rainbow"|231748|"Rainbow"|1|"2016-08-26"|1|0.448|0.263|2|-10.362|1|0.0459|0.708|1.87e-06|0.119|0.423|88.109|4
3|"47UDiZQHAkVtMNhx6EjyOn"|"Passenger"|"Let Her Go"|252733|"All The Little Lights"|2|"2012-02-24"|11|0.479|0.545|7|-7.346|1|0.0688|0.365|0|0.0963|0.244|74.897|4
4|"1brwdYwjltrJo7WHpIvbYt"|"Alan Walker"|"Faded"|212626|"Faded"|1|"2015-12-04"|2|0.589|0.651|6|-5.097|1|0.0306|0.0291|3.2e-06|0.111|0.166|90.011|4
5|"7yq4Qj7cqayVTp3FF9CWbm"|"Vance Joy"|"Riptide"|204280|"Dream Your Life Away"|4|"2014-09-08"|13|0.484|0.731|1|-6.694|1|0.0379|0.431|0|0.151|0.51|101.654|4
6|"44yLjz5SIFMWAMsCCQ1kv8"|"Taylor Swift"|"Safe & Sound - The Hunger Games/Soundtrack Version"|240066|"The Hunger Games: Songs From District 12 And Beyond"|4|"2012-01-01"|16|0.465|0.306|7|-10.785|1|0.0283|0.893|8.89e-06|0.0827|0.285|144.195|4
7|"36uVyuO8B0bc5SonH2bovp"|"Paces"|"Desert"|204140|"Vacation"|13|"2016-03-02"|13|0.677|0.407|4|-8.985|0|0.053|0.0305|8.43e-05|0.143|0.342|96.874|4
8|"4KlL5Bwlm4yHYxr0B2rHci"|"Tom Odell"|"Heal"|193080|"Long Way Down (Deluxe)"|13|"2013-06-24"|15|0.445|0.179|1|-12.938|1|0.0396|0.952|0.00056|0.107|0.119|72.246|4
9|"6kkwzB6hXLIONkEk9JciA6"|"Marconi Union"|"Weightless"|480106|"The Ambient Zone Just Music Cafe Vol 4"|1|"2012-10-29"|12|0.139|0.22|2|-19.974|0|0.0324|0.856|0.831|0.17|0.0789|71.432|5
10|"3030YT1OMJa4bxthLLHuVM"|"P!nk"|"Beam Me Up"|267293|"The Truth About Love"|9|"2012-09-18"|17|0.487|0.339|0|-7.039|1|0.0309|0.52|0|0.151|0.25|118.017|4
11|"1MHXTAtfqlRNkGv5g6Ca6q"|"Vance Joy"|"Georgia"|230506|"Dream Your Life Away"|8|"2014-09-05"|13|0.388|0.66|11|-7.372|1|0.0308|0.312|0.000307|0.0943|0.401|143.554|4
12|"1lyNFzcCl9kXCof6GV32fV"|"Ed Sheeran"|"How Would You Feel (Paean)"|280533|"How Would You Feel (Paean)"|1|"2017-02-16"|1|0.617|0.439|9|-5.63|1|0.0269|0.424|0|0.127|0.242|139.979|4
13|"2Bo0hh0yoQReC4reJav5DT"|"Sia"|"Breathe Me"|272066|"Colour The Small One (Deluxe Edition)"|3|"2004-01-01"|19|0.553|0.621|0|-7.356|1|0.0333|0.0428|0.596|0.115|0.19|120.051|4
14|"6HIElrRO0GdlFZB54iVyiI"|"Angus & Julia Stone"|"And The Boys"|249893|"Down The Way"|7|"2010-03-12"|13|0.791|0.42|5|-8.905|0|0.0285|0.558|0.0173|0.129|0.507|99.882|4
15|"6cDfjpzbfreA0Tv97t2Xll"|"Billie Marten"|"Heavy Weather"|254173|"Heavy Weather"|1|"2015-04-07"|1|0.42|0.386|4|-10.152|0|0.0354|0.796|0.0018|0.355|0.119|77.219|4
16|"207qh0NdViBam3cvekExEK"|"Vance Joy"|"Emmylou"|280653|"God Loves You When You're Dancing"|1|"2013-03-22"|5|0.542|0.41|9|-8.765|0|0.0233|0.594|0.000346|0.169|0.313|95.923|4
17|"52UMriNHNZ0bJVEqzXpnfq"|"American Authors"|"Oh, What A Life"|219493|"Oh, What A Life"|11|"2014-01-01"|14|0.559|0.612|2|-5.714|1|0.0304|0.0327|5.47e-06|0.143|0.407|117.91|3
18|"5oV8bZaShr2d01FFMHBUPq"|"Kina Grannis"|"Iris"|181136|"Iris"|1|"2017-03-10"|1|0.497|0.13|6|-15.571|1|0.0436|0.841|0|0.111|0.179|130.769|3
19|"4UhDz2HQkEntyK5hPk4ZnO"|"Passenger"|"Anywhere"|216200|"Anywhere"|1|"2016-08-19"|1|0.594|0.635|7|-6.192|1|0.0295|0.0953|7.05e-05|0.0917|0.807|104.507|4
20|"5Ewz5ms8XpjtkihWFLnJJs"|"The Paper Kites"|"Paint"|191773|"Young North"|4|"2012-09-07"|5|0.554|0.303|4|-13.05|1|0.0366|0.893|0.00207|0.119|0.396|77.295|4
21|"6tqzOYuE3lrNVPDgtF3MjM"|"Daughter"|"Youth"|253013|"If You Leave"|3|"2013-03-18"|10|0.401|0.535|0|-11.09|1|0.0407|0.889|0.00667|0.116|0.436|146.515|4
22|"6cSsWi1c3ewIEmbqdUWsUM"|"X Ambassadors"|"Unsteady"|193546|"VHS"|4|"2015-06-30"|20|0.376|0.662|0|-6.124|1|0.057|0.175|0.000691|0.203|0.236|107.209|4
