"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
0|"4rmPQGwcLQjCoFq5NrTA0D"|"Mark Ronson"|"Uptown Funk (feat. Bruno Mars)"|270626|"Uptown Funk (feat. Bruno Mars)"|1|"2014-11-24"|1|0.853|0.681|0|-5.003|1|0.0888|0.00966|5.71e-05|0.0233|0.93|114.989|4
1|"5dKBaysNJtfpyNTRa5lqDb"|"Vampire Weekend"|"A-Punk"|137760|"Vampire Weekend"|3|"2008-01-27"|11|0.551|0.821|2|-4.489|1|0.0539|0.0102|0.0438|0.153|0.842|174.923|4
2|"6UelLqGlWMcVH1E5c4H7lY"|"Harry Styles"|"Watermelon Sugar"|174000|"Fine Line"|2|"2019-12-13"|12|0.548|0.816|0|-4.209|1|0.0465|0.122|0|0.335|0.557|95.39|4
3|"6Ac4NVYYl2U73QiTt11ZKd"|"Blue Swede"|"Hooked On A Feeling"|172866|"Hooked On A Feeling"|1|"1973-04-01"|1|0.547|0.82|8|-6.728|1|0.0805|0.261|0|0.3|0.933|118.208|4
4|"5nujrmhLynf4yMoMtj8AQF"|"Dua Lipa"|"Levitating (feat. DaBaby)"|203064|"Future Nostalgia"|12|"2020-03-27"|13|0.702|0.825|6|-3.787|0|0.0601|0.00883|0|0.0674|0.915|102.977|4
5|"05wIrZSwuaVWhcv5FfqeH0"|"Katrina & The Waves"|"Walking On Sunshine"|238733|"Katrina & The Waves"|6|"1985"|10|0.596|0.869|10|-11.97|1|0.037|0.0116|0.173|0.0678|0.944|109.902|4
6|"7zkDEBSxkcBVsStS4qBFpK"|"Phoenix"|"Lisztomania"|241546|"Wolfgang Amadeus Phoenix"|1|"2009"|10|0.635|0.786|0|-6.46|1|0.0377|0.0349|0.00767|0.497|0.305|97.54|4
7|"3AszgPDZd9q0DpDFt4HFBy"|"Outkast"|"Hey Ya!"|239240|"The Way You Move / Hey Ya!"|3|"2003"|4|0.715|0.97|0|-2.206|1|0.0648|0.0644|0.000156|0.205|0.963|79.504|4
8|"0e8nrvls4Qqv5Rfa2UhqmO"|"Lil Nas X"|"THATS WHAT I WANT"|143901|"MONTERO"|4|"2021-09-17"|15|0.737|0.846|1|-4.51|0|0.22|0.00614|0|0.0486|0.546|87.981|4
9|"4Z1fbYp0HuxLBje4MOZcSD"|"The Beatles"|"Twist And Shout - Remastered"|155226|"Please Please Me (Remastered)"|14|"1963-03-22"|14|0.482|0.849|2|-9.198|1|0.0452|0.641|7.74e-06|0.0414|0.937|124.631|4
10|"3DarAbFujv6eYNliUTyqtz"|"Doja Cat"|"Kiss Me More (feat. SZA)"|208666|"Planet Her"|14|"2021-06-25"|14|0.764|0.705|8|-3.463|1|0.0284|0.259|8.92e-05|0.12|0.781|110.97|4
11|"6VwkgtOIlVboseFPCFnyJ2"|"The Buggles"|"Video Killed The Radio Star"|251533|"I Am Happy"|17|"2010-01-01"|20|0.679|0.79|1|-6.934|1|0.059|0.139|0.00669|0.165|0.369|131.177|4
12|"51PSUD2YHjPyAy3jnkaoy7"|"Tai Verdes"|"A-O-K"|173640|"TV"|13|"2021-05-20"|13|0.731|0.626|11|-6.919|1|0.0805|0.125|0|0.183|0.862|82.488|4
13|"2RknY4IqSPwagR0v5wchIW"|"Queen"|"Don't Stop Me Now"|209447|"Jazz"|12|"1978-11-10"|13|0.566|0.876|0|-4.6|1|0.187|0.0175|0.0114|0.677|0.642|156.291|4
14|"3Wrjm47oTz2sjIgck11l5e"|"Måneskin"|"Beggin'"|211560|"Chosen"|4|"2017-12-08"|7|0.714|0.8|11|-4.808|0|0.0504|0.127|0|0.359|0.589|134.002|4
15|"6JV2JOEocMgcZxYSZelKcc"|"Justin Timberlake"|"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"|236001|"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"|1|"2016-05-06"|1|0.666|0.83|0|-5.715|1|0.0751|0.0123|0|0.191|0.702|113.03|4
16|"6w8ZPYdnGajyfPddTWdthN"|"Adele"|"Can I Get It"|210384|"30"|6|"2021-11-19"|12|0.703|0.68|9|-6.118|0|0.0431|0.0171|0|0.178|0.536|97.985|4
