"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
0|"2gMXnyrvIjhVBUZwvLZDMP"|"Lewis Capaldi"|"Before You Go"|215106|"Divinely Uninspired To A Hellish Extent (Extended Edition)"|13|"2019-11-22"|15|0.459|0.575|3|-4.858|1|0.0573|0.604|0|0.0885|0.183|111.881|4
1|"7uWalFOkvzFZjPou2mcb8C"|"Sik World"|"Why'd You Leave?"|125384|"Why'd You Leave?"|1|"2022-01-05"|1|0.728|0.707|8|-7.895|0|0.485|0.357|3.81e-06|0.144|0.286|84.968|4
2|"1tgvVVE8hIryQzTVnPZUdF"|"will hyde"|"i always end up leaving."|235211|"i always end up leaving."|1|"2022-04-06"|2|0.453|0.302|3|-8.637|1|0.053|0.847|0|0.107|0.27|83.013|1
3|"5wANPM4fQCJwkGd4rN57mH"|"Olivia Rodrigo"|"drivers license"|242013|"SOUR"|3|"2021-05-21"|11|0.561|0.431|10|-8.81|1|0.0578|0.768|1.42e-05|0.106|0.137|143.875|4
4|"6Jkm5kUldvIqxzI1Pa7nXH"|"Leah Kate"|"10 Things I Hate About You"|157138|"10 Things I Hate About You"|1|"2022-03-23"|1|0.544|0.786|8|-2.97|1|0.0501|0.00991|0|0.169|0.446|153.967|4
5|"6GFfDRG1Sff3IZaD0TYro4"|"James Arthur"|"Empty Space"|213306|"YOU"|15|"2019-10-18"|17|0.546|0.515|1|-5.379|1|0.0563|0.22|0|0.0611|0.34|164.792|4
6|"74WKPbLlT4hrlNBj0cmR33"|"Sik World"|"About You"|173350|"Still Lost 2"|6|"2021-07-30"|8|0.732|0.38|2|-11.402|1|0.152|0.107|9.53e-05|0.163|0.162|143.897|4
7|"3AnaM2KjdnVzEsyZJeWpa3"|"James Walker"|"Weathered - Stripped"|248788|"Weathered (Stripped)"|1|"2021-02-26"|1|0.438|0.132|8|-13.209|1|0.0348|0.779|0|0.0761|0.129|109.947|3
8|"7n5LJO27QLW54MmCU8ok2e"|"will hyde"|"dark until september."|207679|"dark until september."|1|"2020-09-23"|4|0.754|0.448|0|-9.52|1|0.0385|0.639|7.03e-05|0.315|0.191|120.115|4
9|"5uCax9HTNlzGybIStD3vDh"|"James Arthur"|"Say You Won't Let Go"|211466|"Back from the Edge"|2|"2016-10-28"|17|0.358|0.557|10|-7.398|1|0.059|0.695|0|0.0902|0.494|85.043|4
10|"4VZic1g3A0WtLDZNCc2yrN"|"Sik World"|"Clouds"|163004|"Clouds"|1|"2022-04-22"|1|0.799|0.669|11|-8.489|0|0.421|0.564|0|0.0642|0.238|141.936|4
11|"5dddbFMGYeFQD2FP5K7qvj"|"will hyde"|"addicted."|241686|"nothing ever changes."|6|"2021-12-10"|7|0.696|0.513|2|-8.866|1|0.0347|0.383|0.00138|0.102|0.33|122.944|4
12|"0ecC8p17cDNlxHXkuYqeR6"|"Natalie Taylor"|"Surrender"|183103|"Surrender"|1|"2019-10-29"|1|0.39|0.448|5|-8.57|0|0.0276|0.8|0.182|0.107|0.077|144.89|5
13|"4Of7rzpRpV1mWRbhp5rAqG"|"Lewis Capaldi"|"Bruises"|220492|"Divinely Uninspired To A Hellish Extent"|2|"2019-05-17"|12|0.736|0.308|4|-7.83|1|0.0677|0.946|0|0.186|0.361|111.202|4
14|"1MHb9ROmrgyGvPXx68i04u"|"Marilyn Hucek"|"Vulnerable"|155145|"Vulnerable"|1|"2020-10-02"|1|0.598|0.183|9|-13.487|1|0.0304|0.535|6.24e-05|0.129|0.0796|137.035|4
15|"0baEuNfCAnahq2e5PhJPrn"|"Genesis Ritchot"|"Kitchen Sink"|218368|"Kitchen Sink"|1|"2021-04-23"|1|0.362|0.456|7|-11.277|1|0.0422|0.886|0.000662|0.0794|0.175|108.128|4
16|"60iSKGrGazRzICtMjADNSM"|"Lewis Capaldi"|"Hold Me While You Wait"|205686|"Divinely Uninspired To A Hellish Extent"|3|"2019-05-17"|12|0.688|0.53|11|-5.507|1|0.0333|0.443|0|0.0995|0.162|106.958|4
17|"6FNnQzlwLa8L68jSd7cJeu"|"James Walker"|"The Conversation"|209278|"Great Deceiver"|1|"2020-11-20"|10|0.437|0.359|10|-12.401|1|0.0479|0.522|0|0.128|0.292|140.071|4
18|"6BeXx9kEcHmJaBBkUzdkG8"|"Brennan"|"If Love Could Only Dance"|191476|"If Love Could Only Dance"|1|"2020-11-27"|1|0.313|0.477|5|-8.427|1|0.0419|0.387|0|0.115|0.329|155.119|4
19|"3BaBmebUr75Oj4tkfG23Cu"|"Lndn"|"Life Like That"|165000|"Life Like That"|1|"2022-02-25"|1|0.543|0.4|3|-9.321|1|0.032|0.71|2.44e-06|0.105|0.274|82.01|4
20|"3JvKfv6T31zO0ini8iNItO"|"Tom Odell"|"Another Love"|244360|"Long Way Down (Deluxe)"|3|"2013-06-24"|15|0.445|0.537|4|-8.532|0|0.04|0.695|1.65e-05|0.0944|0.131|122.769|4
21|"2RttW7RAu5nOAfq6YFvApB"|"Ed Sheeran"|"Happier"|207520|"÷ (Deluxe)"|7|"2017-03-03"|16|0.522|0.385|0|-7.355|1|0.0288|0.536|0|0.135|0.236|89.792|4
22|"0gplL1WMoJ6iYaPgMCL0gX"|"Adele"|"Easy On Me"|224694|"Easy On Me"|1|"2021-10-14"|1|0.604|0.366|5|-7.519|1|0.0282|0.578|0|0.133|0.13|141.981|4
23|"7HWetAoWK9qkFM575HONAY"|"Justin Bieber"|"Lonely (with benny blanco)"|149297|"Lonely (with benny blanco)"|1|"2020-10-16"|1|0.631|0.226|11|-7.257|0|0.0396|0.879|0|0.115|0.0765|79.968|4
24|"2MPYYgwY9ceUgqteDZJQTB"|"James Walker"|"Expo"|185822|"Great Deceiver"|7|"2020-11-20"|10|0.299|0.239|4|-12.778|1|0.0326|0.953|1.26e-06|0.0912|0.213|139.268|4
25|"4ZLzoOkj0MPWrTLvooIuaa"|"Kina"|"Get You The Moon (feat. Snøw)"|179080|"Get You The Moon (feat. Snøw)"|1|"2018-10-08"|1|0.498|0.235|1|-16.541|0|0.188|0.72|0|0.144|0.0895|118.917|4
26|"3GVkPk8mqxz0itaAriG1L7"|"XXXTENTACION"|"Everybody Dies In Their Nightmares"|95466|"17"|4|"2017-08-25"|11|0.734|0.57|7|-7.066|0|0.133|0.847|2.14e-05|0.112|0.689|129.953|4
27|"6USdi8uX5GNAPYziFhisHb"|"Ali Gatie"|"What If I Told You That I Love You"|193667|"The Idea Of Her"|6|"2021-03-26"|10|0.596|0.366|7|-11.144|1|0.115|0.63|7.04e-06|0.0554|0.229|84.394|4
28|"5ZnFhBW5s7jZ3bZE8LcxnO"|"Luke Marshall Black"|"Losing Sleep"|195451|"Losing Sleep"|1|"2019-05-17"|1|0.608|0.539|9|-10.048|0|0.0363|0.524|4.02e-05|0.0913|0.206|129.164|4
29|"1rAfkuGgX7uaj1uShj9vjs"|"Mathew V"|"Healing"|191938|"The Outer Circle"|2|"2021-10-01"|6|0.312|0.239|9|-12.642|1|0.0344|0.775|0|0.139|0.457|161.684|4
30|"2qxmye6gAegTMjLKEBoR3d"|"Alec Benjamin"|"Let Me Down Slowly"|169353|"Narrated For You"|4|"2018-11-16"|12|0.652|0.557|1|-5.714|0|0.0318|0.74|0|0.124|0.483|150.073|4
31|"2kJwzbxV2ppxnQoYw4GLBZ"|"JP Saxe"|"If the World Was Ending (feat. Julia Michaels)"|208687|"If the World Was Ending (feat. Julia Michaels)"|1|"2019-10-17"|1|0.464|0.473|1|-10.086|1|0.129|0.866|0|0.109|0.604|75.801|4
32|"1ugQtcwmKOXvKAYzhjncmv"|"Dean Lewis"|"Half A Man"|179120|"A Place We Knew"|12|"2019-03-22"|12|0.507|0.204|0|-11.575|1|0.0504|0.855|0|0.143|0.343|77.765|4
33|"5DqdesEfbRyOlSS3Tf6c29"|"Ali Gatie"|"It's You"|212606|"YOU"|1|"2019-11-08"|9|0.732|0.463|11|-6.972|0|0.0287|0.374|0|0.194|0.397|95.971|4
34|"5dyihZecYMcEPq09Bk2OL2"|"Anson Seabra"|"Robin Hood"|221538|"Robin Hood"|1|"2018-09-21"|1|0.731|0.153|4|-14.409|1|0.0562|0.952|0|0.134|0.324|78.072|4
35|"5CZ40GBx1sQ9agT82CLQCT"|"Olivia Rodrigo"|"traitor"|229226|"SOUR"|2|"2021-05-21"|11|0.38|0.339|3|-7.885|1|0.0338|0.691|0|0.12|0.0849|100.607|4
36|"12OLyHDxt6dqlAybSPFBK3"|"Lewis Capaldi"|"Forever"|210863|"Divinely Uninspired To A Hellish Extent"|6|"2019-05-17"|12|0.646|0.355|1|-7.119|1|0.0263|0.873|0|0.115|0.364|84.988|4
37|"6Hj9jySrnFppAI0sEMCZpJ"|"Juice WRLD"|"Robbery"|240050|"Death Race For Love"|8|"2019-03-08"|22|0.685|0.692|2|-5.122|1|0.0457|0.328|0|0.153|0.578|159.966|5
38|"3U4isOIWM3VvDubwSI3y7a"|"John Legend"|"All of Me"|269560|"Love In The Future (Expanded Edition)"|6|"2013-08-30"|20|0.422|0.264|8|-7.064|1|0.0322|0.922|0|0.132|0.331|119.93|4
39|"4RVwu0g32PAqgUiJoXsdF8"|"Billie Eilish"|"Happier Than Ever"|298899|"Happier Than Ever"|15|"2021-07-30"|16|0.332|0.225|0|-8.697|1|0.0348|0.767|0.00349|0.128|0.297|81.055|3
40|"09mEdoA6zrmBPgTEN5qXmN"|"The Weeknd"|"Call Out My Name"|228373|"My Dear Melancholy,"|1|"2018-03-30"|7|0.461|0.593|1|-4.954|1|0.0356|0.17|0|0.307|0.175|134.17|3
